 DAY ID NOMINAL_MONTHLY_GDP REAL_MONTHLY_GDP PRICE_LEVEL PRICE_GROWTH AVERAGE_WAGE UNEMPLOYMENT_RATE num_of_bankruptcies agregate_capital_stock agregate_inventory_stock agregate_production AGGREGATE_VALUE_AT_RISK monthly_investments physical_capital_price real_monthly_investments
 720 523 190.228365 18.780555 7.104939 1.566689 0.523700 0.000000 9 18.000000 -0.000000 nan 26582.968614 0.000000 1000.000000 0.000000
 740 523 154.754347 15.009796 7.716112 1.745168 0.523700 0.000000 9 18.000000 2.990204 nan 26795.789268 0.000000 1000.000000 0.000000
 760 523 211.444046 20.990204 8.293054 1.863070 0.523700 0.000000 9 18.000000 -0.000000 nan 26970.343965 0.000000 1000.000000 0.000000
 780 523 151.887438 14.691696 8.846929 1.917420 0.523700 0.000000 9 24.000000 3.308304 nan 32259.854598 6000.000000 1000.000000 6.000000
 800 523 214.536550 21.308304 9.329753 1.878919 0.523700 0.000000 9 30.000000 -0.000000 nan 40202.966870 6000.000000 1000.000000 6.000000
 820 523 183.237136 18.000000 9.745511 1.751136 0.504400 0.000000 11 30.000000 -0.000000 nan 40290.674538 0.000000 1000.000000 0.000000
 840 523 183.243438 18.000000 10.068211 1.453421 0.485100 0.000000 11 36.000000 -0.000000 18.000000 48616.304903 6000.000000 1000.000000 6.000000
 860 523 183.246594 18.000000 10.128712 1.156616 0.485100 0.000000 11 42.000000 -0.000000 18.000000 57556.427231 6000.000000 1000.000000 6.000000
 880 523 183.248174 18.000000 10.157091 0.917294 0.485100 0.000000 11 42.000000 -0.000000 18.000000 57652.145182 0.000000 1000.000000 0.000000
 900 523 183.248966 18.000000 10.173285 0.724067 0.485100 0.000000 11 42.000000 -0.000000 18.000000 57750.593200 0.000000 1000.000000 0.000000
 920 523 183.249362 18.000000 10.180677 0.564737 0.485100 0.000000 11 42.000000 -0.000000 18.000000 57849.114398 0.000000 1000.000000 0.000000
 940 523 183.249561 18.000000 10.181802 0.433060 0.485100 0.000000 11 42.000000 -0.000000 18.000000 57947.631835 0.000000 1000.000000 0.000000
 960 523 183.249660 18.000000 10.186096 0.320107 0.485100 0.000000 11 42.000000 -0.000000 18.000000 58045.638630 0.000000 1000.000000 0.000000
 980 523 183.249710 18.000000 10.175289 0.226965 0.485100 0.000000 11 42.000000 -0.000000 18.000000 58139.760136 0.000000 1000.000000 0.000000
 1000 523 183.249735 18.000000 10.184213 0.151158 0.485100 0.000000 11 42.000000 -0.000000 18.000000 58254.251921 0.000000 1000.000000 0.000000
 1020 523 126.457381 12.000000 10.200862 0.093369 0.485100 0.000000 11 36.000000 -0.000000 nan 58316.149146 0.000000 1000.000000 0.000000
 1040 523 126.457387 12.000000 10.240021 0.050742 0.485100 0.000000 11 36.000000 -0.000000 nan 58429.921994 0.000000 1000.000000 0.000000
 1060 523 0.000000 0.000000 10.240021 0.017065 0.465800 0.000000 12 18.000000 -0.000000 nan 58448.625499 0.000000 1000.000000 0.000000
 1080 523 0.000000 0.000000 10.240021 0.010989 0.465800 0.000000 12 18.000000 -0.000000 nan 58531.201742 0.000000 1000.000000 0.000000
 1100 523 0.000000 0.000000 10.240021 0.008165 0.465800 0.000000 12 18.000000 -0.000000 nan 58610.076820 0.000000 1000.000000 0.000000
 1120 523 0.000000 0.000000 10.240021 0.006560 0.465800 0.000000 12 18.000000 -0.000000 nan 58688.951897 0.000000 1000.000000 0.000000
 1140 523 0.000000 0.000000 10.240021 0.005829 0.465800 0.000000 12 18.000000 -0.000000 nan 58767.826975 0.000000 1000.000000 0.000000
 1160 523 0.000000 0.000000 10.240021 0.005718 0.465800 0.000000 12 18.000000 -0.000000 nan 58846.702052 0.000000 1000.000000 0.000000
