DAY ID TOTAL_ASSETS CURRENT_ASSETS INVENTORIES NON_CURRENT_ASSETS PAYMENT_ACCOUNT TOTAL_LIABILITIES CURRENT_LIABILITIES NON_CURRENT_LIABILITIES EQUITY PHYSICAL_CAPITAL ACTIVE
 20 18 1154.383333 0.000000 0.000000 833.333333 321.050000 0.000000 0.000000 0.000000 1154.383333 277.777778 1
 20 17 1154.383333 0.000000 0.000000 833.333333 321.050000 0.000000 0.000000 0.000000 1154.383333 277.777778 1
 20 9 1173.123148 -0.000000 -0.000000 833.333333 339.789815 0.000000 0.000000 0.000000 1173.123148 277.777778 1
 20 10 1152.198014 0.000000 0.000000 833.333333 318.864681 0.000000 0.000000 0.000000 1152.198014 277.777778 1
 20 2 1329.545153 -0.000000 -0.000000 833.333333 496.211820 0.000000 0.000000 0.000000 1329.545153 277.777778 1
 20 1 1321.365796 -0.000000 -0.000000 833.333333 488.032463 0.000000 0.000000 0.000000 1321.365796 277.777778 1
 20 16 1373.732688 0.000000 0.000000 833.333333 540.399354 27.777778 0.000000 27.777778 1345.954910 277.777778 1
 20 15 1373.732687 0.000000 0.000000 833.333333 540.399354 27.777778 0.000000 27.777778 1345.954910 277.777778 1
 20 8 1373.732687 0.000000 0.000000 833.333333 540.399354 27.777778 0.000000 27.777778 1345.954909 277.777778 1
 20 7 1373.732686 -0.000000 -0.000000 833.333333 540.399352 27.777778 0.000000 27.777778 1345.954908 277.777778 1
 20 14 1373.732686 0.000000 0.000000 833.333333 540.399352 27.777778 0.000000 27.777778 1345.954908 277.777778 1
 20 13 1373.732686 -0.000000 -0.000000 833.333333 540.399353 27.777778 0.000000 27.777778 1345.954908 277.777778 1
 20 6 1373.732687 -0.000000 -0.000000 833.333333 540.399354 27.777778 0.000000 27.777778 1345.954910 277.777778 1
 20 5 1373.732687 0.000000 0.000000 833.333333 540.399354 27.777778 0.000000 27.777778 1345.954910 277.777778 1
 20 12 1362.872844 14.639950 14.639950 833.333333 514.899561 27.777778 0.000000 27.777778 1335.095067 277.777778 1
 20 11 1371.119368 3.522964 3.522964 833.333333 534.263070 27.777778 0.000000 27.777778 1343.341590 277.777778 1
 20 4 1297.145850 89.500910 89.500910 833.333333 374.311606 17.777778 0.000000 17.777778 1279.368072 277.777778 1
 20 3 1296.980304 89.723025 89.723025 833.333333 373.923945 17.777778 0.000000 17.777778 1279.202526 277.777778 1
 40 17 1140.292667 0.000000 0.000000 833.333333 306.959333 0.000000 0.000000 0.000000 1140.292667 277.777778 1
 40 18 1140.292667 0.000000 0.000000 833.333333 306.959333 0.000000 0.000000 0.000000 1140.292667 277.777778 1
 40 10 1216.455451 0.000000 0.000000 833.333333 383.122117 122.461739 0.000000 122.461739 1093.993711 277.777778 1
 40 9 1246.430311 0.000000 0.000000 833.333333 413.096978 112.648574 0.000000 112.648574 1133.781737 277.777778 1
 40 1 1308.240064 0.000000 0.000000 833.333333 474.906731 12.183474 0.000000 12.183474 1296.056591 277.777778 1
 40 2 1315.155463 -0.000000 -0.000000 833.333333 481.822130 0.000000 0.000000 0.000000 1315.155463 277.777778 1
 40 15 1389.085634 0.000000 0.000000 833.333333 555.752301 26.620370 0.000000 26.620370 1362.465263 277.777778 1
 40 16 1356.041408 30.652245 30.140607 833.333333 492.055830 26.620370 0.000000 26.620370 1329.421038 277.777778 1
 40 7 1389.085633 -0.000000 -0.000000 833.333333 555.752299 26.620370 0.000000 26.620370 1362.465262 277.777778 1
 40 8 1389.085634 0.000000 0.000000 833.333333 555.752300 26.620370 0.000000 26.620370 1362.465263 277.777778 1
 40 13 1389.085633 0.000000 0.000000 833.333333 555.752300 26.620370 0.000000 26.620370 1362.465263 277.777778 1
 40 14 1389.085632 -0.000000 -0.000000 833.333333 555.752299 26.620370 0.000000 26.620370 1362.465262 277.777778 1
 40 5 1309.576843 73.753367 72.522299 833.333333 402.490142 26.620370 0.000000 26.620370 1282.956472 277.777778 1
 40 6 1290.236119 91.694069 90.163540 833.333333 365.208718 26.620370 0.000000 26.620370 1263.615749 277.777778 1
 40 11 1364.127524 23.151459 22.765022 833.333333 507.642732 26.620370 0.000000 26.620370 1337.507154 277.777778 1
 40 12 1243.633407 134.923338 132.671240 833.333333 275.376735 26.620370 0.000000 26.620370 1217.013036 277.777778 1
 40 3 1233.914688 134.652639 132.405059 833.333333 265.928716 17.037037 0.000000 17.037037 1216.877651 277.777778 1
 40 4 1205.488136 160.894981 158.209372 833.333333 211.259821 17.037037 0.000000 17.037037 1188.451099 277.777778 1
 60 18 1123.945355 46.691389 42.375975 833.333333 243.920632 0.000000 0.000000 0.000000 1123.945355 277.777778 1
 60 17 1135.006459 30.378866 27.571124 833.333333 271.294259 0.000000 0.000000 0.000000 1135.006459 277.777778 1
 60 9 1194.072544 65.956931 59.860914 833.333333 294.782280 107.954883 0.000000 107.954883 1086.117661 277.777778 1
 60 10 1148.001718 78.846310 71.559002 833.333333 235.822074 117.359167 0.000000 117.359167 1030.642551 277.777778 1
 60 2 1341.765982 -0.000000 -0.000000 833.333333 508.432649 0.000000 0.000000 0.000000 1341.765982 277.777778 1
 60 1 1332.216663 -0.000000 -0.000000 833.333333 498.883330 11.675829 0.000000 11.675829 1320.540834 277.777778 1
 60 16 1270.005378 140.965349 127.936738 833.333333 295.706696 25.462963 0.000000 25.462963 1244.542415 277.777778 1
 60 15 1302.367807 111.189272 100.912692 833.333333 357.845201 25.462963 0.000000 25.462963 1276.904844 277.777778 1
 60 8 1316.236990 98.428491 89.331316 833.333333 384.475165 25.462963 0.000000 25.462963 1290.774027 277.777778 1
 60 7 1379.916261 39.838361 36.156332 833.333333 506.744566 25.462963 0.000000 25.462963 1354.453298 277.777778 1
 60 14 1418.489255 4.348056 3.946190 833.333333 580.807866 25.462963 0.000000 25.462963 1393.026292 277.777778 1
 60 13 1362.786731 55.598928 50.460241 833.333333 473.854470 25.462963 0.000000 25.462963 1337.323768 277.777778 1
 60 6 1246.280500 162.794174 147.748052 833.333333 250.152992 25.462963 0.000000 25.462963 1220.817537 277.777778 1
 60 5 1253.863765 155.816952 141.415694 833.333333 264.713480 25.462963 0.000000 25.462963 1228.400802 277.777778 1
 60 12 1235.657521 172.568182 156.618705 833.333333 229.756005 25.462963 0.000000 25.462963 1210.194558 277.777778 1
 60 11 1315.063724 99.507992 90.311045 833.333333 382.222398 25.462963 0.000000 25.462963 1289.600761 277.777778 1
 60 4 1224.148497 173.682249 157.629805 833.333333 217.132915 16.296296 0.000000 16.296296 1207.852201 277.777778 1
 60 3 1218.888052 178.497489 162.000000 833.333333 207.057230 16.296296 0.000000 16.296296 1202.591756 277.777778 1
 80 17 1101.983392 129.799542 107.838305 833.333333 138.850517 0.000000 0.000000 0.000000 1101.983392 277.777778 1
 80 18 1091.134100 149.519593 124.221851 833.333333 108.281174 0.000000 0.000000 0.000000 1091.134100 277.777778 1
 80 10 1105.436604 187.238545 155.559002 833.333333 84.864726 112.256595 0.000000 112.256595 993.180009 277.777778 1
 80 9 1139.727285 180.380043 149.860914 833.333333 126.013908 103.261193 0.000000 103.261193 1036.466092 277.777778 1
 80 1 1370.357933 0.000000 0.000000 833.333333 537.024599 11.168184 0.000000 11.168184 1359.189748 277.777778 1
 80 2 1341.213009 41.825725 34.749085 833.333333 466.053950 0.000000 0.000000 0.000000 1341.213009 277.777778 1
 80 16 1128.558391 231.523381 192.351132 833.333333 63.701677 24.305556 0.000000 24.305556 1104.252836 277.777778 1
 80 15 1232.776268 257.942202 214.300061 833.333333 141.500733 24.305556 0.000000 24.305556 1208.470713 277.777778 1
 80 7 1360.484351 107.580590 89.378655 833.333333 419.570427 24.305556 0.000000 24.305556 1336.178795 277.777778 1
 80 8 1285.451711 192.519691 159.946613 833.333333 259.598687 24.305556 0.000000 24.305556 1261.146155 277.777778 1
 80 13 1324.224998 144.289247 119.876446 833.333333 346.602417 24.305556 0.000000 24.305556 1299.919442 277.777778 1
 80 14 1342.425568 125.863147 104.567922 833.333333 383.229087 24.305556 0.000000 24.305556 1318.120012 277.777778 1
 80 5 1303.777437 164.990181 137.074917 833.333333 305.453923 24.305556 0.000000 24.305556 1279.471881 277.777778 1
 80 6 1293.612330 176.867643 146.942790 833.333333 283.411354 24.305556 0.000000 24.305556 1269.306775 277.777778 1
 80 11 1336.450157 131.912601 109.593848 833.333333 371.204222 24.305556 0.000000 24.305556 1312.144601 277.777778 1
 80 12 1275.546184 193.571258 160.820262 833.333333 248.641592 24.305556 0.000000 24.305556 1251.240628 277.777778 1
 80 3 1266.979952 198.480353 164.898770 833.333333 235.166266 15.555556 0.000000 15.555556 1251.424396 277.777778 1
 80 4 1254.647381 211.505043 175.719767 833.333333 209.809005 15.555556 0.000000 15.555556 1239.091826 277.777778 1
 100 17 1100.538648 208.368999 158.513475 833.333333 58.836316 0.000000 0.000000 0.000000 1100.538648 277.777778 1
 100 18 1091.420545 216.491228 164.692334 833.333333 41.595984 0.000000 0.000000 0.000000 1091.420545 277.777778 1
 100 9 1093.425296 260.091962 197.860914 833.333333 0.000000 127.253931 28.686428 98.567502 966.171365 277.777778 1
 100 10 1093.028427 259.695093 197.559002 833.333333 0.000000 167.400096 51.178010 116.222086 925.628331 277.777778 1
 100 2 1327.080539 119.428816 90.853614 833.333333 374.318389 0.000000 0.000000 0.000000 1327.080539 277.777778 1
 100 1 1353.449904 74.023661 56.312348 833.333333 446.092910 10.660539 0.000000 10.660539 1342.789365 277.777778 1
 100 15 1289.569032 -0.000000 -0.000000 833.333333 456.235699 105.212159 0.000000 105.212159 1184.356873 277.777778 1
 100 16 1068.840365 221.345812 168.385383 833.333333 14.161220 83.946181 0.000000 83.946181 984.894184 277.777778 1
 100 8 1149.000195 263.260501 200.271331 833.333333 52.406360 23.148148 0.000000 23.148148 1125.852047 277.777778 1
 100 7 1364.520804 187.889754 142.934208 833.333333 343.297716 23.148148 0.000000 23.148148 1341.372656 277.777778 1
 100 14 1386.842594 144.330508 109.797189 833.333333 409.178753 23.148148 0.000000 23.148148 1363.694446 277.777778 1
 100 13 1350.743378 186.521555 141.893371 833.333333 330.888490 23.148148 0.000000 23.148148 1327.595230 277.777778 1
 100 6 1314.227863 251.098266 191.019100 833.333333 229.796263 23.148148 0.000000 23.148148 1291.079715 277.777778 1
 100 5 1326.495256 238.210376 181.214838 833.333333 254.951547 23.148148 0.000000 23.148148 1303.347108 277.777778 1
 100 12 1329.378589 211.491704 160.889023 833.333333 284.553552 23.148148 0.000000 23.148148 1306.230440 277.777778 1
 100 11 1357.346686 178.803924 136.022304 833.333333 345.209428 23.148148 0.000000 23.148148 1334.198537 277.777778 1
 100 4 1214.090382 273.625175 208.156095 833.333333 107.131874 14.814815 0.000000 14.814815 1199.275568 277.777778 1
 100 3 1303.051023 255.303698 194.218317 833.333333 214.413992 14.814815 0.000000 14.814815 1288.236208 277.777778 1
 120 17 1120.368554 287.035221 200.513475 833.333333 0.000000 11.163684 11.163684 0.000000 1109.204870 277.777778 1
 120 18 1070.686542 235.757225 164.692334 833.333333 1.595984 0.000000 0.000000 0.000000 1070.686542 277.777778 1
 120 10 1116.139224 282.805891 197.559002 833.333333 0.000000 237.409818 52.838778 184.571040 878.729406 277.777778 1
 120 9 1116.571411 283.238078 197.860914 833.333333 0.000000 207.260577 44.542919 162.717658 909.310834 277.777778 1
 120 2 1339.058514 176.878010 123.561228 833.333333 328.847171 0.000000 0.000000 0.000000 1339.058514 277.777778 1
 120 1 1456.961832 20.561321 14.363471 833.333333 603.067178 10.152895 0.000000 10.152895 1446.808938 277.777778 1
 120 16 1108.733183 275.399850 192.385383 833.333333 0.000000 161.497967 53.345795 108.152172 947.235216 277.777778 1
 120 15 1031.589411 127.373488 88.978979 833.333333 70.882589 100.635417 0.000000 100.635417 930.953993 277.777778 1
 120 7 1276.777234 266.202857 185.960663 833.333333 177.241043 21.990741 0.000000 21.990741 1254.786493 277.777778 1
 120 8 1092.949875 259.616541 181.359677 833.333333 0.000000 68.165109 11.672412 56.492697 1024.784766 277.777778 1
 120 13 1470.570285 111.847606 78.133102 833.333333 525.389346 21.990741 0.000000 21.990741 1448.579544 277.777778 1
 120 14 1496.769970 75.474415 52.723973 833.333333 587.962222 21.990741 0.000000 21.990741 1474.779229 277.777778 1
 120 6 1267.961046 279.524926 195.267027 833.333333 155.102786 21.990741 0.000000 21.990741 1245.970305 277.777778 1
 120 5 1353.798955 281.590871 196.710229 833.333333 238.874751 21.990741 0.000000 21.990741 1331.808215 277.777778 1
 120 11 1439.606061 154.835436 108.163002 833.333333 451.437292 21.990741 0.000000 21.990741 1417.615320 277.777778 1
 120 12 1403.613113 236.162993 164.975790 833.333333 334.116787 21.990741 0.000000 21.990741 1381.622372 277.777778 1
 120 3 1371.987699 251.412771 175.628789 833.333333 287.241595 14.074074 0.000000 14.074074 1357.913625 277.777778 1
 120 4 1090.458366 257.125032 179.619189 833.333333 0.000000 49.533975 33.625701 15.908274 1040.924390 277.777778 1
 140 18 1084.982553 251.649219 162.111040 833.333333 0.000000 12.809769 12.809769 0.000000 1072.172784 277.777778 1
 140 17 1144.595659 311.262326 200.513475 833.333333 0.000000 51.163684 51.163684 0.000000 1093.431975 277.777778 1
 140 9 1140.478019 307.144686 197.860914 833.333333 0.000000 247.282047 40.035982 207.246065 893.195973 277.777778 1
 140 10 1140.009354 306.676020 197.559002 833.333333 0.000000 277.439880 47.557100 229.882780 862.569474 277.777778 1
 140 2 1238.417827 255.207067 164.402986 833.333333 149.877427 0.000000 0.000000 0.000000 1238.417827 277.777778 1
 140 1 1482.271794 -0.000000 -0.000000 833.333333 648.938460 9.645250 0.000000 9.645250 1472.626544 277.777778 1
 140 15 1203.384268 328.010830 211.302769 833.333333 42.040105 146.156958 0.000000 146.156958 1057.227310 277.777778 1
 140 16 1106.757525 270.111723 174.004484 833.333333 3.312468 156.583791 0.000000 156.583791 950.173734 277.777778 1
 140 8 1119.166075 285.832742 184.131877 833.333333 0.000000 79.992259 19.275338 60.716921 1039.173816 277.777778 1
 140 7 1163.499779 188.228813 121.255964 833.333333 141.937633 20.833333 0.000000 20.833333 1142.666446 277.777778 1
 140 14 1560.806085 50.062299 32.249857 833.333333 677.410453 20.833333 0.000000 20.833333 1539.972751 277.777778 1
 140 13 1542.431596 80.998703 52.178918 833.333333 628.099560 20.833333 0.000000 20.833333 1521.598263 277.777778 1
 140 6 1213.573749 316.644144 203.980413 833.333333 63.596271 20.833333 0.000000 20.833333 1192.740416 277.777778 1
 140 5 1302.567527 260.269891 167.664430 833.333333 208.964303 20.833333 0.000000 20.833333 1281.734194 277.777778 1
 140 12 1451.222840 183.823858 118.418316 833.333333 434.065649 20.833333 0.000000 20.833333 1430.389507 277.777778 1
 140 11 1516.375181 124.868865 80.439835 833.333333 558.172983 20.833333 0.000000 20.833333 1495.541848 277.777778 1
 140 4 1027.079877 179.995192 115.951911 833.333333 13.751352 15.091108 0.000000 15.091108 1011.988769 277.777778 1
 140 3 1407.778730 213.104820 137.280950 833.333333 361.340577 13.333333 0.000000 13.333333 1394.445397 277.777778 1
 160 17 1169.362815 336.029481 200.513475 833.333333 0.000000 71.163881 69.811909 1.351972 1098.198934 277.777778 1
 160 18 1099.461641 266.128308 158.802470 833.333333 0.000000 15.639349 15.639349 0.000000 1083.822292 277.777778 1
 160 10 1160.449228 327.115895 195.194613 833.333333 0.000000 290.916283 34.120324 256.795959 869.532945 277.777778 1
 160 9 1164.917535 331.584201 197.860914 833.333333 0.000000 267.311179 34.011627 233.299552 897.606356 277.777778 1
 160 1 1521.223281 -0.000000 -0.000000 833.333333 687.889947 9.137605 0.000000 9.137605 1512.085676 277.777778 1
 160 2 1180.157467 123.166838 73.495369 833.333333 223.657295 0.000000 0.000000 0.000000 1180.157467 277.777778 1
 160 15 1514.065802 541.738299 323.262793 833.333333 138.994170 298.695152 0.000000 298.695152 1215.370650 277.777778 1
 160 16 1126.190799 230.333048 137.442940 833.333333 62.524418 149.510579 0.000000 149.510579 976.680220 277.777778 1
 160 7 1147.243339 220.071932 131.319989 833.333333 93.838073 19.675926 0.000000 19.675926 1127.567413 277.777778 1
 160 8 1125.741705 292.408372 174.484151 833.333333 0.000000 112.833309 32.133036 80.700273 1012.908397 277.777778 1
 160 13 1620.840377 17.516673 10.452443 833.333333 769.990371 19.675926 0.000000 19.675926 1601.164451 277.777778 1
 160 14 1629.247686 0.000000 0.000000 833.333333 795.914353 19.675926 0.000000 19.675926 1609.571761 277.777778 1
 160 5 1299.098756 292.027146 174.256668 833.333333 173.738276 19.675926 0.000000 19.675926 1279.422830 277.777778 1
 160 6 1199.644196 216.361956 129.106194 833.333333 149.948907 19.675926 0.000000 19.675926 1179.968270 277.777778 1
 160 11 1557.286079 149.932370 89.466735 833.333333 574.020376 19.675926 0.000000 19.675926 1537.610153 277.777778 1
 160 12 1514.713116 175.844051 104.928596 833.333333 505.535731 19.675926 0.000000 19.675926 1495.037190 277.777778 1
 160 3 1453.801817 248.035680 148.006347 833.333333 372.432803 12.592593 0.000000 12.592593 1441.209224 277.777778 1
 160 4 1078.700402 245.367068 146.413949 833.333333 0.000000 39.293353 25.019411 14.273942 1039.407049 277.777778 1
 180 17 1189.126895 355.793562 197.498041 833.333333 0.000000 74.406896 48.316381 26.090516 1114.719999 277.777778 1
 180 18 1032.029564 160.460859 89.070486 833.333333 38.235371 0.000000 0.000000 0.000000 1032.029564 277.777778 1
 180 9 1165.520688 326.386723 181.174551 833.333333 5.800631 240.200857 0.000000 240.200857 925.319830 277.777778 1
